score,domain,evidence_type,query_id
0.0,finance,unknown,00073cc2-c801-467c-9039-fca63c78c6a9
0.0,finance,unknown,000b6710-f8b4-4dd4-9913-90c7d424fccf
1.0,finance,unknown,00183cfe-ceb0-4220-b984-f33f61c61ae4
1.0,finance,unknown,002f9cc4-096b-4aff-b5b7-751f497e28aa
0.125,finance,unknown,003c6ab8-2d19-4cf0-8d43-8259815f9e34
1.0,finance,unknown,0042d740-0c34-439f-ad44-e0f06a9e72f8
1.0,finance,unknown,004cdaf0-0ed9-4a32-8f0f-a9db4b6a3fea
0.9259259259259259,finance,unknown,0068eeac-7cfb-49f6-8de0-4a849afe5363
0.0,finance,unknown,006baa01-fdbc-46e7-8734-baefc2e4866f
1.0,finance,unknown,007b0a78-f278-4163-9312-8e5cbea3351d
0.6111111111111112,manual,unknown,00902bcc-9b65-4988-a0ae-c3799b085860
0.6296296296296297,finance,unknown,0097c49a-5570-4dc0-8805-fb35cba9748d
1.0,finance,unknown,00a1402e-57e7-4f7b-8486-10cfd21276c2
1.0,finance,unknown,00a594c2-0d4e-4d06-8c16-4ccabbfcc661
0.8088235294117647,administration,unknown,00a81de9-d20f-47d0-8465-6d6b81fb18b3
1.0,finance,unknown,00a89d2b-e1f4-4a00-a5ca-92bd745dc319
1.0,finance,unknown,00ac317a-dd82-4b3e-a868-5bdd02c81d11
1.0,finance,unknown,00afecfa-6ea0-41cc-9ec7-d2715034e9ff
1.0,finance,unknown,00b425aa-e7eb-433c-ba08-79fbdc7843b3
1.0,finance,unknown,00b5888d-5f7c-441a-abf5-5e065ae88bd8
0.0,finance,unknown,00c08143-c5a4-48c6-995f-908dbd9695c9
0.0,finance,unknown,00c818ba-a210-4d25-b92c-5f423f203c22
0.0,finance,unknown,00c99f27-6e4d-442f-b306-f416b09b8163
1.0,finance,unknown,00d2870b-4b5c-41ed-b2bb-ccfc34ff496a
0.0,finance,unknown,00d3470f-abed-43b1-89e6-6c0421125186
0.0,finance,unknown,00d3d1af-353e-4c86-a4ae-ba79e4b82987
0.7631578947368421,finance,unknown,00d8fc51-4839-4203-ab0e-11fa2a505852
1.0,finance,unknown,00e954f6-f574-48f9-bd16-b04f2cf6c298
1.0,finance,unknown,00f276c9-41cf-41a1-bdc5-515ab78331b9
1.0,finance,unknown,00f520f4-9ef1-4846-9dbc-24fd0a8aa1e4
0.9056603773584906,manual,unknown,00faf28f-ea21-4aa9-bd8f-c1a95a9e57e3
1.0,finance,unknown,01055b03-085b-4b3e-ab19-3fd25bbdb887
0.7358490566037735,administration,unknown,01139f6f-ec0a-4b3d-8bf5-e9fa5b54dfb1
0.8372093023255814,academic,unknown,0130d66b-932d-4648-a769-b0f1ee01b9e0
0.5882352941176471,finance,unknown,0135934e-4157-4f38-9fda-1c45672389c7
1.0,finance,unknown,013a3cfa-d2b2-4882-bb2d-32d0a65c2fea
1.0,finance,unknown,0140a718-b50a-4a65-aca3-6771c7ef28e7
0.8169014084507042,law,unknown,0140cb62-c2e2-4ee8-b80c-098da487c0e6
0.7272727272727273,news,unknown,0150833d-d539-4bb6-892f-35e859117d0f
1.0,finance,unknown,0156f13c-8098-4b3e-8734-627f1c3726f5
0.0,finance,unknown,015a50ba-86d3-4bfe-9de4-5628ad100cbf
1.0,finance,unknown,015cd1e7-2bc7-4ba4-b0c6-319ca891e09a
1.0,finance,unknown,01668796-e975-406b-8043-af980dc44252
